id,area,input_or_precondition,action,expected,evidence,status
M01,匹配,库存鱼肉,查找菜谱,剁椒鱼头可相关召回但鱼头仍缺少,,not-run
M02,匹配,搜索鱼,查看结果,鱼香肉丝不因菜名字含鱼而命中,,not-run
M03,匹配,搜索鱼香肉丝,查看结果,完整菜名正常命中,,not-run
M04,形态,库存蒸肉米粉,查看南昌拌粉,不能自动满足粉条需求,,not-run
M05,约束,明确花生过敏,推荐含复合酱料的菜,检查成分不明时提示无法确认,,not-run
U01,输入,中文组合输入中,候选确认Enter,不提前提交半成品文本,,not-run
U02,键盘,有未提交草稿,点击CTA,提交去重关闭键盘再显示最新结果,,not-run
U03,键盘,草稿未提交,外点并重新点输入,保留草稿且可重新聚焦,,not-run
U04,导航,菜谱滚到底,详情返回再滚到底,末项完整可见可点击,,not-run
U05,布局,空态及有结果,多次键盘开关,无屏幕位移和大块露白,,not-run
S01,采购,同一计划请求,重复添加,数量不重复累加,,not-run
S02,采购,计划2人份,改4人份并保存,替换旧贡献不是叠加或忽略,,not-run
S03,采购,某材料已购,增加需求,按已购量重新计算剩余需求,,not-run
A01,图片,每个recipeId,打开详情,对应图片可解码且实际显示,,not-run
D01,发布,授权目标版本,匿名打开并检查资源,版本一致且非HTML回退冒充图片,,not-run
